516, 77
203, 75
284, 72
224, 69
179, 68
253, 68
454, 68
490, 68
530, 68
546, 68
587, 68
431, 67
353, 67
212, 66
417, 66
473, 66
375, 66
560, 66
532, 66
143, 65
470, 65
407, 65
410, 65
302, 65
521, 65
172, 64
183, 64
266, 64
416, 64
429, 64
434, 64
312, 64
177, 63
186, 63
211, 63
220, 63
234, 63
479, 63
437, 63
455, 63
215, 62
241, 62
418, 62
466, 62
303, 62
329, 62
409, 62
108, 61
191, 61
256, 61
476, 61
336, 61
158, 60
115, 60
119, 60
124, 60
178, 60
205, 60
230, 60
514, 60
531, 60
557, 60
134, 59
184, 59
305, 59
338, 59
511, 59
545, 59
568, 59
109, 58
102, 58
128, 58
144, 58
164, 58
176, 58
187, 58
232, 58
261, 58
278, 58
430, 58
330, 58
339, 58
104, 57
148, 57
190, 57
259, 57
213, 57
223, 57
246, 57
477, 57
491, 57
348, 57
355, 57
376, 57
554, 57
559, 57
576, 57
210, 56
467, 56
331, 56
385, 56
502, 56
517, 56
106, 55
125, 55
167, 55
201, 55
237, 55
251, 55
273, 55
422, 55
482, 55
322, 55
370, 55
379, 55
524, 55
548, 55
567, 55
127, 54
159, 54
173, 54
243, 54
245, 54
446, 54
447, 54
448, 54
310, 54
319, 54
349, 54
377, 54
536, 54
537, 54
577, 54
578, 54
130, 53
131, 53
160, 53
180, 53
267, 53
290, 53
412, 53
404, 53
449, 53
340, 53
351, 53
512, 53
543, 53
138, 52
118, 52
122, 52
136, 52
146, 52
155, 52
174, 52
189, 52
202, 52
219, 52
274, 52
281, 52
208, 52
419, 52
439, 52
486, 52
487, 52
307, 52
311, 52
350, 52
363, 52
544, 52
562, 52
152, 51
166, 51
207, 51
252, 51
260, 51
272, 51
472, 51
433, 51
374, 51
522, 51
572, 51
151, 50
156, 50
169, 50
171, 50
185, 50
474, 50
480, 50
483, 50
493, 50
575, 50
520, 50
111, 49
112, 49
209, 49
221, 49
238, 49
459, 49
463, 49
382, 49
383, 49
565, 49
140, 48
126, 48
141, 48
217, 48
403, 48
414, 48
443, 48
475, 48
478, 48
342, 48
327, 48
334, 48
366, 48
581, 48
556, 48
566, 48
121, 47
133, 47
137, 47
157, 47
222, 47
226, 47
304, 47
423, 47
468, 47
309, 47
323, 47
324, 47
343, 47
347, 47
359, 47
369, 47
386, 47
503, 47
507, 47
539, 47
168, 46
236, 46
277, 46
413, 46
364, 46
389, 46
372, 46
515, 46
139, 45
165, 45
254, 45
287, 45
489, 45
361, 45
321, 45
332, 45
356, 45
523, 45
540, 45
571, 45
580, 45
289, 44
441, 44
453, 44
315, 44
362, 44
552, 44
170, 43
101, 43
110, 43
225, 43
271, 43
231, 43
420, 43
444, 43
469, 43
373, 43
313, 43
506, 43
421, 43
535, 43
561, 43
135, 42
175, 42
249, 42
250, 42
258, 42
285, 42
425, 42
427, 42
513, 42
550, 42
533, 42
129, 41
147, 41
161, 41
365, 41
461, 41
357, 41
505, 41
518, 41
547, 41
116, 40
117, 40
269, 40
227, 40
462, 40
488, 40
345, 40
390, 40
569, 40
584, 40
286, 39
218, 39
438, 39
316, 39
457, 39
435, 39
471, 39
333, 39
380, 39
509, 39
528, 39
534, 39
182, 38
216, 38
264, 38
371, 38
381, 38
387, 38
508, 38
525, 38
162, 37
432, 37
328, 37
564, 37
275, 36
282, 36
411, 35
458, 35
519, 35
280, 34
452, 34
428, 34
120, 33
142, 33
240, 33
242, 33
424, 33
504, 33
553, 33
105, 32
485, 32
314, 32
573, 32
239, 31
551, 31
228, 30
214, 29
586, 28
163, 27
460, 27
574, 27
113, 25
501, 24
103, 16
